#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         135     1.20033     1.20011 8.47274e-06
         136     1.20033     1.20011  8.5684e-06
         137     1.20034     1.20011 8.66445e-06
         138     1.20034     1.20011 8.76089e-06
         139     1.20035     1.20012 8.85771e-06
         140     1.20035     1.20012 8.95492e-06
         141     1.20036     1.20012 9.05252e-06
         142     1.20036     1.20012 9.15051e-06
         143     1.20037     1.20012  9.2489e-06
         144     1.20037     1.20012 9.34767e-06
         145     1.20038     1.20013 9.44684e-06
         146     1.20038     1.20013 9.54639e-06
         147     1.20039     1.20013 9.64633e-06
         148      1.2004     1.20013 9.74665e-06
         149      1.2004     1.20013 9.84737e-06
         150     1.20041     1.20014 9.94848e-06
         151     1.20041     1.20014   1.005e-05
         152     1.20042     1.20014 1.01519e-05
         153     1.20042     1.20014 1.02541e-05
         154     1.20043     1.20014 1.03568e-05
         155     1.20043     1.20014 1.04598e-05
         156     1.20044     1.20015 1.05632e-05
         157     1.20045     1.20015  1.0667e-05
         158     1.20045     1.20015 1.07712e-05
         159     1.20046     1.20015 1.08757e-05
         160     1.20046     1.20015 1.09806e-05
         161     1.20047     1.20016 1.10859e-05
         162     1.20048     1.20016 1.11916e-05
         163     1.20048     1.20016 1.12977e-05
         164     1.20049     1.20016 1.14041e-05
         165     1.20049     1.20016 1.15109e-05
         166      1.2005     1.20017 1.16181e-05
         167     1.20051     1.20017 1.17257e-05
         168     1.20051     1.20017 1.18336e-05
         169     1.20052     1.20017 1.19419e-05
         170     1.20053     1.20017 1.20506e-05
         171     1.20053     1.20018 1.21597e-05
         172     1.20054     1.20018 1.22692e-05
         173     1.20054     1.20018  1.2379e-05
         174     1.20055     1.20018 1.24893e-05
         175     1.20056     1.20019 1.25999e-05
         176     1.20056     1.20019 1.27109e-05
         177     1.20057     1.20019 1.28223e-05
         178     1.20058     1.20019  1.2934e-05
         179     1.20058     1.20019 1.30462e-05
         180     1.20059      1.2002 1.31587e-05
         181      1.2006      1.2002 1.32716e-05
         182      1.2006      1.2002 1.33848e-05
         183     1.20061      1.2002 1.34985e-05
         184     1.20062      1.2002 1.36125e-05
         185     1.20062     1.20021 1.37269e-05
         186     1.20063     1.20021 1.38417e-05
         187     1.20064     1.20021 1.39568e-05
         188     1.20065     1.20021 1.40723e-05
         189     1.20065     1.20022 1.41882e-05
         190     1.20066     1.20022 1.43045e-05
         191     1.20067     1.20022 1.44211e-05
         192     1.20067     1.20022 1.45381e-05
         193     1.20068     1.20023 1.46555e-05
         194     1.20069     1.20023 1.47732e-05
         195      1.2007     1.20023 1.48913e-05
         196      1.2007     1.20023 1.50098e-05
         197     1.20071     1.20024 1.51287e-05
         198     1.20072     1.20024  1.5248e-05
         199     1.20073     1.20024 1.53676e-05
         200     1.20073     1.20024 1.54875e-05
         201     1.20074     1.20025 1.56079e-05
         202     1.20075     1.20025 1.57286e-05
         203     1.20076     1.20025 1.58497e-05
         204     1.20076     1.20025 1.59712e-05
         205     1.20077     1.20026  1.6093e-05
         206     1.20078     1.20026 1.62152e-05
         207     1.20079     1.20026 1.63378e-05
         208      1.2008     1.20026 1.64607e-05
         209      1.2008     1.20027 1.65841e-05
         210     1.20081     1.20027 1.67078e-05
         211     1.20082     1.20027 1.68318e-05
         212     1.20083     1.20027 1.69563e-05
         213     1.20084     1.20028 1.70812e-05
         214     1.20084     1.20028 1.72064e-05
         215     1.20085     1.20028  1.7332e-05
         216     1.20086     1.20028  1.7458e-05
         217     1.20087     1.20029 1.75844e-05
         218     1.20088     1.20029 1.77111e-05
         219     1.20089     1.20029 1.78383e-05
         220     1.20089      1.2003 1.79658e-05
         221      1.2009      1.2003 1.80937e-05
         222     1.20091      1.2003  1.8222e-05
         223     1.20092      1.2003 1.83507e-05
         224     1.20093     1.20031 1.84797e-05
         225     1.20094     1.20031 1.86091e-05
         226     1.20095     1.20031  1.8739e-05
         227     1.20095     1.20031 1.88692e-05
         228     1.20096     1.20032 1.89997e-05
         229     1.20097     1.20032 1.91307e-05
         230     1.20098     1.20032  1.9262e-05
         231     1.20099     1.20033 1.93937e-05
         232       1.201     1.20033 1.95258e-05
         233     1.20101     1.20033 1.96583e-05
