#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         129  -0.0323073  -0.0319922   1.228e-05
         130  -0.0323144  -0.0319947 1.24332e-05
         131  -0.0323216  -0.0319971 1.25864e-05
         132  -0.0323289  -0.0319997 1.27395e-05
         133  -0.0323362  -0.0320022 1.28926e-05
         134  -0.0323436  -0.0320047 1.30457e-05
         135  -0.0323511  -0.0320073 1.31989e-05
         136  -0.0323609  -0.0320099 1.33555e-05
         137  -0.0323685  -0.0320125 1.35121e-05
         138  -0.0323761  -0.0320152 1.36686e-05
         139  -0.0323862  -0.0320178 1.38284e-05
         140  -0.0323963  -0.0320205 1.39913e-05
         141  -0.0324041  -0.0320233  1.4154e-05
         142  -0.0324143   -0.032026 1.43197e-05
         143  -0.0324222  -0.0320288 1.44852e-05
         144  -0.0324302  -0.0320316 1.46503e-05
         145  -0.0324382  -0.0320344 1.48153e-05
         146  -0.0324487  -0.0320372 1.49831e-05
         147  -0.0324568  -0.0320401 1.51507e-05
         148  -0.0324698   -0.032043  1.5324e-05
         149  -0.0324781  -0.0320459 1.54969e-05
         150  -0.0324864  -0.0320488 1.56693e-05
         151  -0.0324948  -0.0320518 1.58415e-05
         152  -0.0325032  -0.0320547 1.60132e-05
         153  -0.0325117  -0.0320577 1.61848e-05
         154  -0.0325203  -0.0320607  1.6356e-05
         155  -0.0325289  -0.0320638  1.6527e-05
         156  -0.0325376  -0.0320668 1.66979e-05
         157  -0.0325463  -0.0320698 1.68686e-05
         158  -0.0325575  -0.0320729 1.70418e-05
         159  -0.0325664   -0.032076 1.72149e-05
         160  -0.0325753  -0.0320792 1.73878e-05
         161  -0.0325866  -0.0320823 1.75632e-05
         162  -0.0326004  -0.0320855 1.77435e-05
         163  -0.0326119  -0.0320887 1.79261e-05
         164  -0.0326234   -0.032092 1.81109e-05
         165  -0.0326327  -0.0320953 1.82952e-05
         166  -0.0326419  -0.0320986  1.8479e-05
         167  -0.0326513  -0.0321019 1.86624e-05
         168  -0.0326607  -0.0321052 1.88454e-05
         169  -0.0326749  -0.0321086  1.9033e-05
         170  -0.0326868   -0.032112 1.92226e-05
         171  -0.0326988  -0.0321154  1.9414e-05
         172  -0.0327108  -0.0321189 1.96074e-05
         173  -0.0327229  -0.0321224 1.98025e-05
         174  -0.0327327  -0.0321259 1.99969e-05
         175  -0.0327425  -0.0321294 2.01908e-05
         176  -0.0327524  -0.0321329  2.0384e-05
         177  -0.0327648  -0.0321365 2.05791e-05
         178  -0.0327748  -0.0321401 2.07735e-05
         179  -0.0327873  -0.0321437 2.09698e-05
         180  -0.0327974  -0.0321473 2.11654e-05
         181  -0.0328076   -0.032151 2.13606e-05
         182  -0.0328203  -0.0321547 2.15574e-05
         183   -0.032833  -0.0321584  2.1756e-05
         184  -0.0328434  -0.0321621  2.1954e-05
         185  -0.0328538  -0.0321658 2.21514e-05
         186  -0.0328667  -0.0321696 2.23506e-05
         187  -0.0328773  -0.0321734 2.25492e-05
         188  -0.0328903  -0.0321772 2.27494e-05
         189   -0.032901   -0.032181 2.29492e-05
         190  -0.0329142  -0.0321849 2.31505e-05
         191   -0.032925  -0.0321888 2.33513e-05
         192  -0.0329406  -0.0321927 2.35558e-05
         193   -0.032954  -0.0321966 2.37617e-05
         194  -0.0329674  -0.0322006  2.3969e-05
         195  -0.0329784  -0.0322046 2.41757e-05
         196  -0.0329896  -0.0322086 2.43819e-05
         197  -0.0330008  -0.0322126 2.45875e-05
         198  -0.0330121  -0.0322166 2.47927e-05
         199  -0.0330234  -0.0322207 2.49973e-05
         200  -0.0330372  -0.0322248 2.52035e-05
         201  -0.0330557  -0.0322289 2.54149e-05
         202  -0.0330673  -0.0322331 2.56257e-05
         203  -0.0330812  -0.0322372 2.58378e-05
         204  -0.0330953  -0.0322414 2.60512e-05
         205   -0.033107  -0.0322457 2.62641e-05
         206  -0.0331235  -0.0322499   2.648e-05
         207  -0.0331377  -0.0322542 2.66971e-05
         208   -0.033152  -0.0322585 2.69154e-05
         209  -0.0331759  -0.0322629 2.71422e-05
         210  -0.0331903  -0.0322673 2.73698e-05
         211  -0.0332024  -0.0322718 2.75965e-05
         212   -0.033217  -0.0322762 2.78242e-05
         213  -0.0332316  -0.0322807 2.80527e-05
         214  -0.0332487  -0.0322852  2.8284e-05
         215  -0.0332658  -0.0322898 2.85177e-05
         216  -0.0332783  -0.0322944 2.87505e-05
         217  -0.0332955   -0.032299 2.89859e-05
         218  -0.0333105  -0.0323036 2.92219e-05
         219  -0.0333232  -0.0323083  2.9457e-05
         220  -0.0333383   -0.032313 2.96928e-05
         221  -0.0333534  -0.0323177 2.99293e-05
         222  -0.0333663  -0.0323224 3.01649e-05
         223  -0.0333863  -0.0323272 3.04046e-05
         224  -0.0334017   -0.032332 3.06449e-05
         225  -0.0334147  -0.0323368 3.08843e-05
         226  -0.0334279  -0.0323416 3.11227e-05
         227   -0.033441  -0.0323465 3.13602e-05
         228  -0.0334567  -0.0323513 3.15984e-05
         229  -0.0334771  -0.0323562 3.18405e-05
         230  -0.0334905  -0.0323612 3.20817e-05
         231  -0.0335039  -0.0323661  3.2322e-05
         232  -0.0335198  -0.0323711  3.2563e-05
         233  -0.0335334  -0.0323761 3.28031e-05
         234  -0.0335518  -0.0323811 3.30455e-05
         235  -0.0335655  -0.0323861 3.32871e-05
         236  -0.0335864  -0.0323912 3.35323e-05
         237  -0.0336027  -0.0323963 3.37782e-05
         238   -0.033619  -0.0324015 3.40246e-05
         239  -0.0336377  -0.0324066 3.42732e-05
         240  -0.0336518  -0.0324118 3.45208e-05
         241  -0.0336683  -0.0324171  3.4769e-05
         242  -0.0336825  -0.0324223 3.50164e-05
         243  -0.0336991  -0.0324275 3.52643e-05
         244  -0.0337135  -0.0324328 3.55114e-05
         245  -0.0337302  -0.0324381 3.57591e-05
         246  -0.0337447  -0.0324434  3.6006e-05
         247   -0.033764  -0.0324488  3.6255e-05
         248  -0.0337833  -0.0324541  3.6506e-05
         249   -0.033798  -0.0324595 3.67562e-05
         250  -0.0338199   -0.032465 3.70097e-05
         251  -0.0338394  -0.0324705 3.72652e-05
         252  -0.0338567   -0.032476 3.75211e-05
         253  -0.0338764  -0.0324815 3.77789e-05
         254  -0.0338914   -0.032487 3.80358e-05
         255  -0.0339065  -0.0324926 3.82918e-05
         256  -0.0339241  -0.0324982 3.85483e-05
         257  -0.0339393  -0.0325038  3.8804e-05
         258  -0.0339546  -0.0325094 3.90589e-05
         259    -0.03397  -0.0325151 3.93131e-05
         260  -0.0339878  -0.0325207 3.95679e-05
         261  -0.0340057  -0.0325264 3.98232e-05
         262  -0.0340212  -0.0325321 4.00778e-05
         263  -0.0340392  -0.0325379  4.0333e-05
         264   -0.034055  -0.0325436 4.05876e-05
         265  -0.0340755  -0.0325494  4.0844e-05
         266  -0.0340913  -0.0325552 4.10997e-05
         267  -0.0341073   -0.032561 4.13549e-05
         268  -0.0341233  -0.0325668 4.16094e-05
         269  -0.0341417  -0.0325727 4.18646e-05
         270  -0.0341602  -0.0325786 4.21204e-05
         271  -0.0341788  -0.0325845 4.23768e-05
         272  -0.0341974  -0.0325904 4.26339e-05
         273  -0.0342138  -0.0325963 4.28904e-05
         274  -0.0342349  -0.0326023 4.31488e-05
         275  -0.0342538  -0.0326083 4.34078e-05
         276  -0.0342775  -0.0326144 4.36698e-05
         277  -0.0343012  -0.0326205 4.39347e-05
         278  -0.0343203  -0.0326266 4.42001e-05
         279  -0.0343395  -0.0326327  4.4466e-05
         280  -0.0343635  -0.0326389 4.47348e-05
         281  -0.0343828  -0.0326451  4.5004e-05
         282  -0.0343998  -0.0326513 4.52725e-05
         283  -0.0344192  -0.0326576 4.55415e-05
         284  -0.0344411  -0.0326639 4.58121e-05
         285  -0.0344584  -0.0326702  4.6082e-05
         286   -0.034478  -0.0326765 4.63525e-05
         287  -0.0344954  -0.0326828 4.66222e-05
         288  -0.0345129  -0.0326892 4.68914e-05
         289  -0.0345328  -0.0326955  4.7161e-05
         290  -0.0345527  -0.0327019 4.74312e-05
         291  -0.0345704  -0.0327084 4.77009e-05
         292  -0.0345929  -0.0327148 4.79721e-05
         293  -0.0346107  -0.0327213 4.82428e-05
         294  -0.0346333  -0.0327278 4.85151e-05
         295  -0.0346536  -0.0327343 4.87879e-05
         296  -0.0346717  -0.0327409 4.90601e-05
         297  -0.0346898  -0.0327474 4.93318e-05
         298  -0.0347127   -0.032754 4.96051e-05
         299   -0.034731  -0.0327606 4.98779e-05
         300  -0.0347493  -0.0327673 5.01502e-05
         301  -0.0347701  -0.0327739 5.04231e-05
         302  -0.0347933  -0.0327806 5.06976e-05
         303  -0.0348119  -0.0327873 5.09716e-05
         304  -0.0348329   -0.032794 5.12461e-05
         305  -0.0348516  -0.0328008 5.15202e-05
         306  -0.0348727  -0.0328076 5.17949e-05
         307   -0.034894  -0.0328144 5.20701e-05
         308  -0.0349176  -0.0328212 5.23469e-05
         309   -0.034939   -0.032828 5.26243e-05
         310  -0.0349581  -0.0328349 5.29012e-05
         311  -0.0349773  -0.0328418 5.31777e-05
         312  -0.0350036  -0.0328487 5.34568e-05
         313  -0.0350253  -0.0328557 5.37364e-05
         314  -0.0350471  -0.0328627 5.40165e-05
         315  -0.0350665  -0.0328697 5.42963e-05
         316  -0.0350861  -0.0328767 5.45756e-05
         317  -0.0351057  -0.0328837 5.48546e-05
         318  -0.0351302  -0.0328908 5.51351e-05
         319  -0.0351523  -0.0328979 5.54162e-05
         320  -0.0351722   -0.032905 5.56969e-05
         321  -0.0351898  -0.0329121 5.59763e-05
         322  -0.0352121  -0.0329192 5.62564e-05
         323  -0.0352346  -0.0329264 5.65371e-05
         324  -0.0352572  -0.0329336 5.68184e-05
         325  -0.0352822  -0.0329408 5.71013e-05
         326  -0.0353049  -0.0329481 5.73848e-05
         327  -0.0353253  -0.0329553  5.7668e-05
         328  -0.0353482  -0.0329626 5.79517e-05
         329  -0.0353687  -0.0329699 5.82352e-05
         330  -0.0353894  -0.0329773 5.85185e-05
         331  -0.0354078  -0.0329846 5.88006e-05
         332  -0.0354286   -0.032992 5.90824e-05
         333  -0.0354518  -0.0329994  5.9365e-05
         334  -0.0354728  -0.0330068 5.96474e-05
         335  -0.0354939  -0.0330142 5.99296e-05
         336  -0.0355174  -0.0330216 6.02125e-05
         337  -0.0355433  -0.0330291  6.0497e-05
         338   -0.035567  -0.0330366 6.07822e-05
         339  -0.0355907  -0.0330442  6.1068e-05
         340  -0.0356122  -0.0330517 6.13537e-05
         341  -0.0356408  -0.0330593 6.16418e-05
         342  -0.0356624  -0.0330669 6.19297e-05
         343  -0.0356889  -0.0330746 6.22192e-05
         344   -0.035713  -0.0330822 6.25093e-05
         345  -0.0357349  -0.0330899 6.27992e-05
         346  -0.0357592  -0.0330976 6.30898e-05
         347   -0.035786  -0.0331054 6.33819e-05
         348  -0.0358081  -0.0331132 6.36738e-05
         349  -0.0358303  -0.0331209 6.39656e-05
         350  -0.0358526  -0.0331287 6.42572e-05
         351  -0.0358774  -0.0331366 6.45495e-05
         352  -0.0359022  -0.0331444 6.48425e-05
         353  -0.0359247  -0.0331523 6.51354e-05
         354  -0.0359521  -0.0331602 6.54298e-05
         355  -0.0359771  -0.0331682 6.57249e-05
         356  -0.0359999  -0.0331761 6.60199e-05
         357  -0.0360228  -0.0331841 6.63147e-05
         358  -0.0360457  -0.0331921 6.66095e-05
         359  -0.0360711  -0.0332001  6.6905e-05
         360  -0.0360966  -0.0332081 6.72012e-05
         361  -0.0361222  -0.0332162 6.74981e-05
         362  -0.0361455  -0.0332243  6.7795e-05
         363  -0.0361712  -0.0332324 6.80925e-05
         364  -0.0361947  -0.0332406   6.839e-05
         365  -0.0362206  -0.0332487 6.86883e-05
         366  -0.0362466  -0.0332569 6.89872e-05
         367  -0.0362726  -0.0332651 6.92869e-05
         368  -0.0362988  -0.0332734 6.95873e-05
         369  -0.0363251  -0.0332816 6.98884e-05
         370   -0.036349  -0.0332899 7.01895e-05
         371  -0.0363731  -0.0332982 7.04906e-05
         372  -0.0363996  -0.0333066 7.07924e-05
         373  -0.0364238  -0.0333149 7.10942e-05
         374  -0.0364505  -0.0333233 7.13967e-05
         375   -0.036482  -0.0333318 7.17015e-05
         376  -0.0365065  -0.0333402 7.20062e-05
         377  -0.0365311  -0.0333487  7.2311e-05
         378  -0.0365605  -0.0333572 7.26172e-05
         379    -0.03659  -0.0333657 7.29248e-05
         380  -0.0366149  -0.0333742 7.32325e-05
         381  -0.0366445  -0.0333828 7.35416e-05
         382  -0.0366743  -0.0333914 7.38521e-05
         383  -0.0366994  -0.0334001 7.41626e-05
         384  -0.0367246  -0.0334087 7.44731e-05
         385  -0.0367523  -0.0334174 7.47844e-05
         386  -0.0367801  -0.0334261 7.50963e-05
         387  -0.0368056  -0.0334349 7.54082e-05
         388  -0.0368359  -0.0334436 7.57216e-05
         389  -0.0368639  -0.0334524 7.60357e-05
         390  -0.0368944  -0.0334612 7.63513e-05
         391  -0.0369202  -0.0334701 7.66668e-05
         392  -0.0369509   -0.033479 7.69837e-05
         393  -0.0369793  -0.0334879 7.73013e-05
         394  -0.0370078  -0.0334968 7.76197e-05
         395   -0.037034  -0.0335058  7.7938e-05
         396  -0.0370651  -0.0335148 7.82578e-05
         397  -0.0370938  -0.0335238 7.85782e-05
         398  -0.0371203  -0.0335328 7.88987e-05
         399  -0.0371445  -0.0335419 7.92185e-05
         400  -0.0371712  -0.0335509 7.95384e-05
         401   -0.037198    -0.03356 7.98583e-05
         402  -0.0372249  -0.0335691 8.01783e-05
         403  -0.0372542  -0.0335783 8.04991e-05
         404  -0.0372812  -0.0335875   8.082e-05
         405  -0.0373131  -0.0335967 8.11423e-05
         406  -0.0373404  -0.0336059 8.14647e-05
         407  -0.0373701  -0.0336151 8.17878e-05
         408  -0.0373999  -0.0336244 8.21118e-05
         409  -0.0374274  -0.0336337 8.24358e-05
         410  -0.0374574   -0.033643 8.27606e-05
         411  -0.0374851  -0.0336524 8.30855e-05
         412  -0.0375129  -0.0336617 8.34106e-05
         413  -0.0375432  -0.0336711 8.37364e-05
         414  -0.0375712  -0.0336806 8.40624e-05
         415  -0.0376041    -0.03369 8.43898e-05
         416  -0.0376322  -0.0336995 8.47173e-05
         417  -0.0376605   -0.033709  8.5045e-05
         418  -0.0376889  -0.0337185 8.53729e-05
         419  -0.0377221  -0.0337281 8.57022e-05
         420  -0.0377531  -0.0337376 8.60323e-05
         421  -0.0377842  -0.0337473 8.63632e-05
         422  -0.0378106  -0.0337569 8.66936e-05
         423  -0.0378395  -0.0337665 8.70243e-05
         424  -0.0378685  -0.0337762 8.73551e-05
         425  -0.0378999  -0.0337859 8.76868e-05
         426  -0.0379315  -0.0337956 8.80193e-05
         427  -0.0379655  -0.0338054 8.83532e-05
         428  -0.0379925  -0.0338152 8.86867e-05
         429   -0.038022   -0.033825 8.90205e-05
         430  -0.0380516  -0.0338348 8.93545e-05
         431  -0.0380813  -0.0338447 8.96887e-05
         432  -0.0381111  -0.0338546 9.00232e-05
         433   -0.038141  -0.0338645  9.0358e-05
         434   -0.038171  -0.0338744  9.0693e-05
         435  -0.0382059  -0.0338843 9.10295e-05
         436  -0.0382361  -0.0338943 9.13663e-05
         437  -0.0382664  -0.0339043 9.17033e-05
         438  -0.0382968  -0.0339144 9.20407e-05
         439  -0.0383297  -0.0339244 9.23789e-05
