#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         154     1.80064     1.80021 1.55352e-05
         155     1.80065     1.80022 1.56897e-05
         156     1.80066     1.80022 1.58448e-05
         157     1.80067     1.80022 1.60005e-05
         158     1.80068     1.80023 1.61568e-05
         159     1.80069     1.80023 1.63136e-05
         160      1.8007     1.80023  1.6471e-05
         161      1.8007     1.80023 1.66289e-05
         162     1.80071     1.80024 1.67874e-05
         163     1.80072     1.80024 1.69465e-05
         164     1.80073     1.80024 1.71061e-05
         165     1.80074     1.80025 1.72663e-05
         166     1.80075     1.80025 1.74271e-05
         167     1.80076     1.80025 1.75885e-05
         168     1.80077     1.80026 1.77504e-05
         169     1.80078     1.80026 1.79129e-05
         170     1.80079     1.80026  1.8076e-05
         171      1.8008     1.80027 1.82396e-05
         172     1.80081     1.80027 1.84038e-05
         173     1.80082     1.80027 1.85686e-05
         174     1.80083     1.80027 1.87339e-05
         175     1.80084     1.80028 1.88998e-05
         176     1.80085     1.80028 1.90663e-05
         177     1.80086     1.80028 1.92334e-05
         178     1.80087     1.80029 1.94011e-05
         179     1.80088     1.80029 1.95693e-05
         180     1.80089     1.80029  1.9738e-05
         181      1.8009      1.8003 1.99074e-05
         182     1.80091      1.8003 2.00773e-05
         183     1.80092      1.8003 2.02477e-05
         184     1.80093     1.80031 2.04188e-05
         185     1.80094     1.80031 2.05903e-05
         186     1.80095     1.80031 2.07625e-05
         187     1.80096     1.80032 2.09352e-05
         188     1.80097     1.80032 2.11085e-05
         189     1.80098     1.80032 2.12823e-05
         190     1.80099     1.80033 2.14567e-05
         191       1.801     1.80033 2.16316e-05
         192     1.80101     1.80034 2.18072e-05
         193     1.80102     1.80034 2.19832e-05
         194     1.80103     1.80034 2.21598e-05
         195     1.80104     1.80035  2.2337e-05
         196     1.80106     1.80035 2.25148e-05
         197     1.80107     1.80035 2.26931e-05
         198     1.80108     1.80036 2.28719e-05
         199     1.80109     1.80036 2.30514e-05
         200      1.8011     1.80036 2.32313e-05
         201     1.80111     1.80037 2.34118e-05
         202     1.80112     1.80037 2.35929e-05
         203     1.80114     1.80038 2.37746e-05
         204     1.80115     1.80038 2.39567e-05
         205     1.80116     1.80038 2.41395e-05
         206     1.80117     1.80039 2.43228e-05
         207     1.80118     1.80039 2.45067e-05
         208     1.80119     1.80039 2.46911e-05
         209     1.80121      1.8004 2.48761e-05
         210     1.80122      1.8004 2.50616e-05
         211     1.80123     1.80041 2.52478e-05
         212     1.80124     1.80041 2.54345e-05
         213     1.80125     1.80041 2.56217e-05
         214     1.80127     1.80042 2.58096e-05
         215     1.80128     1.80042  2.5998e-05
         216     1.80129     1.80043  2.6187e-05
         217      1.8013     1.80043 2.63765e-05
         218     1.80132     1.80043 2.65667e-05
         219     1.80133     1.80044 2.67574e-05
         220     1.80134     1.80044 2.69487e-05
         221     1.80135     1.80045 2.71405e-05
         222     1.80137     1.80045  2.7333e-05
         223     1.80138     1.80046  2.7526e-05
         224     1.80139     1.80046 2.77196e-05
         225     1.80141     1.80046 2.79137e-05
         226     1.80142     1.80047 2.81084e-05
         227     1.80143     1.80047 2.83037e-05
         228     1.80145     1.80048 2.84996e-05
         229     1.80146     1.80048  2.8696e-05
         230     1.80147     1.80048  2.8893e-05
         231     1.80148     1.80049 2.90906e-05
         232      1.8015     1.80049 2.92888e-05
         233     1.80151      1.8005 2.94875e-05
         234     1.80153      1.8005 2.96868e-05
         235     1.80154     1.80051 2.98866e-05
         236     1.80155     1.80051  3.0087e-05
         237     1.80157     1.80052  3.0288e-05
         238     1.80158     1.80052 3.04896e-05
         239     1.80159     1.80052 3.06917e-05
         240     1.80161     1.80053 3.08944e-05
         241     1.80162     1.80053 3.10977e-05
         242     1.80164     1.80054 3.13015e-05
         243     1.80165     1.80054 3.15059e-05
         244     1.80167     1.80055 3.17109e-05
         245     1.80168     1.80055 3.19165e-05
         246     1.80169     1.80056 3.21226e-05
         247     1.80171     1.80056 3.23293e-05
