#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -6.57946    -6.59492  0.00212768
         153    -6.57958    -6.59482  0.00211614
         154    -6.57937    -6.59472  0.00210477
         155    -6.57916    -6.59462  0.00209359
         156    -6.57926    -6.59452  0.00208248
         157    -6.57904    -6.59442  0.00207155
         158    -6.57881    -6.59432  0.00206079
         159     -6.5789    -6.59423  0.00205011
         160    -6.57899    -6.59413  0.00203951
         161    -6.57907    -6.59404  0.00202899
         162    -6.57882    -6.59394  0.00201864
         163    -6.57857    -6.59385  0.00200846
         164    -6.57928    -6.59376  0.00199818
         165    -6.57902    -6.59367  0.00198806
         166    -6.57843    -6.59358  0.00197821
         167    -6.57816    -6.59349  0.00196852
         168     -6.5782     -6.5934   0.0019589
         169     -6.5776     -6.5933  0.00194954
         170    -6.57732    -6.59321  0.00194034
         171    -6.57735    -6.59312  0.00193121
         172    -6.57706    -6.59302  0.00192223
         173    -6.57676    -6.59293  0.00191342
         174    -6.57678    -6.59284  0.00190467
         175     -6.5768    -6.59274  0.00189599
         176    -6.57682    -6.59265  0.00188738
         177    -6.57683    -6.59256  0.00187883
         178    -6.57683    -6.59248  0.00187035
         179    -6.57651    -6.59239  0.00186203
         180    -6.57684     -6.5923  0.00185369
         181    -6.57684    -6.59222  0.00184541
         182    -6.57683    -6.59213  0.00183721
         183    -6.57747    -6.59205  0.00182892
         184    -6.57746    -6.59197   0.0018207
         185    -6.57744    -6.59189  0.00181255
         186    -6.57742    -6.59182  0.00180447
         187     -6.5774    -6.59174  0.00179647
         188     -6.5777    -6.59166  0.00178846
         189    -6.57768    -6.59159  0.00178053
         190    -6.57765    -6.59152  0.00177267
         191    -6.57794    -6.59145  0.00176481
         192    -6.57759    -6.59137   0.0017571
         193    -6.57723     -6.5913  0.00174952
         194    -6.57687    -6.59123  0.00174208
         195    -6.57683    -6.59115  0.00173471
         196    -6.57679    -6.59108  0.00172741
         197    -6.57707    -6.59101   0.0017201
         198    -6.57703    -6.59094  0.00171286
         199    -6.57764    -6.59087  0.00170556
         200    -6.57759     -6.5908  0.00169832
         201    -6.57787    -6.59074  0.00169109
         202    -6.57782    -6.59067  0.00168393
         203    -6.57842    -6.59061  0.00167671
         204    -6.57837    -6.59055  0.00166957
         205    -6.57832    -6.59049  0.00166249
         206    -6.57827    -6.59044  0.00165548
         207    -6.57822    -6.59038  0.00164853
         208    -6.57849    -6.59032   0.0016416
         209    -6.57843    -6.59026  0.00163473
         210    -6.57838    -6.59021  0.00162792
         211      -6.578    -6.59015  0.00162124
         212    -6.57828    -6.59009  0.00161456
         213    -6.57822    -6.59004  0.00160794
         214    -6.57817    -6.58998  0.00160138
         215    -6.57811    -6.58993  0.00159488
         216    -6.57838    -6.58987  0.00158839
         217    -6.57898    -6.58982  0.00158187
         218     -6.5786    -6.58977  0.00157545
         219    -6.57855    -6.58972  0.00156909
         220    -6.57817    -6.58967  0.00156283
         221     -6.5778    -6.58961  0.00155668
         222    -6.57807    -6.58956  0.00155054
         223    -6.57834    -6.58951   0.0015444
         224    -6.57797    -6.58946  0.00153836
         225    -6.57889    -6.58941  0.00153224
         226    -6.57917    -6.58937  0.00152613
         227     -6.5788    -6.58932  0.00152012
         228    -6.57875    -6.58927  0.00151416
         229     -6.5787    -6.58923  0.00150825
         230    -6.57833    -6.58918  0.00150244
         231    -6.57894    -6.58914  0.00149659
