#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -6.17948     -6.8381   0.0526602
         153    -6.18495    -6.83383   0.0524888
         154    -6.19049    -6.82965   0.0523139
         155    -6.19738    -6.82557   0.0521352
         156    -6.20303    -6.82158   0.0519535
         157    -6.20871    -6.81768   0.0517691
         158    -6.21443    -6.81386    0.051582
         159    -6.22016    -6.81013   0.0513926
         160    -6.22591    -6.80648   0.0512009
         161    -6.23166    -6.80291   0.0510072
         162    -6.23611    -6.79941   0.0508122
         163    -6.24184    -6.79599   0.0506155
         164    -6.24723    -6.79264   0.0504173
         165    -6.25258    -6.78937   0.0502179
         166    -6.25791    -6.78617   0.0500174
         167    -6.26351    -6.78304   0.0498157
         168    -6.26875    -6.77997   0.0496131
         169    -6.27425    -6.77698   0.0494097
         170    -6.28001    -6.77406   0.0492055
         171    -6.28539     -6.7712   0.0490006
         172    -6.29102    -6.76841   0.0487952
         173    -6.29593    -6.76568   0.0485895
         174    -6.30108    -6.76301   0.0483836
         175    -6.30615     -6.7604   0.0481775
         176    -6.31113    -6.75784   0.0479713
         177    -6.31602    -6.75535   0.0477652
         178    -6.32049    -6.75291   0.0475593
         179     -6.3252    -6.75052   0.0473536
         180     -6.3298    -6.74818   0.0471482
         181     -6.3343    -6.74589   0.0469431
         182     -6.3387    -6.74365   0.0467384
         183    -6.34332    -6.74147   0.0465342
         184    -6.34751    -6.73933   0.0463305
         185    -6.35159    -6.73723   0.0461275
         186    -6.35589    -6.73518    0.045925
         187    -6.36009    -6.73317   0.0457232
         188    -6.36385    -6.73121   0.0455222
         189     -6.3675    -6.72929    0.045322
         190    -6.37105     -6.7274   0.0451227
         191    -6.37449    -6.72555   0.0449242
         192    -6.37782    -6.72374   0.0447267
         193     -6.3804    -6.72196   0.0445304
         194    -6.38352    -6.72022    0.044335
         195    -6.38686    -6.71851   0.0441406
         196    -6.38977    -6.71683   0.0439472
         197    -6.39227    -6.71518    0.043755
         198    -6.39498    -6.71357   0.0435639
         199    -6.39728    -6.71198    0.043374
         200     -6.3998    -6.71042   0.0431852
         201    -6.40223    -6.70888   0.0429975
         202    -6.40425    -6.70737   0.0428111
         203    -6.40618    -6.70589   0.0426259
         204    -6.40802    -6.70443    0.042442
         205    -6.41011    -6.70299   0.0422592
         206    -6.41211    -6.70158   0.0420777
         207    -6.41468     -6.7002   0.0418972
         208    -6.41653    -6.69883    0.041718
         209    -6.41863    -6.69749   0.0415399
         210    -6.42034    -6.69617    0.041363
         211    -6.42262    -6.69488   0.0411873
         212    -6.42388     -6.6936   0.0410129
         213    -6.42572    -6.69234   0.0408396
         214    -6.42718     -6.6911   0.0406676
         215    -6.42923    -6.68988   0.0404966
         216    -6.43058    -6.68868   0.0403269
         217    -6.43157     -6.6875   0.0401585
         218    -6.43315    -6.68633   0.0399912
         219    -6.43437    -6.68518   0.0398252
         220    -6.43619    -6.68405   0.0396602
         221    -6.43636    -6.68293   0.0394966
         222     -6.4378    -6.68182   0.0393341
         223    -6.43855    -6.68073   0.0391729
         224     -6.4396    -6.67966   0.0390128
         225    -6.44095     -6.6786   0.0388538
         226    -6.44196    -6.67755    0.038696
         227    -6.44294    -6.67652   0.0385393
         228    -6.44423     -6.6755   0.0383838
         229    -6.44518    -6.67449   0.0382293
         230     -6.4458     -6.6735    0.038076
         231    -6.44705    -6.67252   0.0379238
         232     -6.4483    -6.67155   0.0377727
         233    -6.44889    -6.67059   0.0376226
         234     -6.4498    -6.66965   0.0374737
         235    -6.45071    -6.66872   0.0373258
         236    -6.45195     -6.6678   0.0371789
         237    -6.45286    -6.66689   0.0370331
         238    -6.45378      -6.666   0.0368884
         239    -6.45536    -6.66512   0.0367445
         240    -6.45694    -6.66425   0.0366017
         241    -6.45821    -6.66339   0.0364598
         242    -6.45884    -6.66255   0.0363189
         243    -6.46014    -6.66172    0.036179
         244    -6.46145     -6.6609     0.03604
         245    -6.46246    -6.66009    0.035902
         246    -6.46348    -6.65929    0.035765
         247    -6.46452     -6.6585   0.0356289
         248     -6.4659    -6.65772   0.0354937
         249    -6.46731    -6.65696   0.0353594
         250    -6.46842     -6.6562    0.035226
         251    -6.46923    -6.65546   0.0350935
         252    -6.47007    -6.65472    0.034962
