0.103118	0.795394	-0.597257	
0.737321	0.240184	-0.0591781	
-0.0719888	-0.346378	-0.0281328	
-0.8587	-0.673348	0.495486	
-1.42089	-0.283937	1.22508	
-0.750229	-0.781183	1.7755	
-1.36763	-0.00656137	1.63845	
-1.44261	-0.196189	2.61744	
-1.08981	0.325445	3.39424	
-0.903036	-0.517548	3.8987	
-1.5687	-0.474073	3.15371	
-1.30341	-0.853546	2.26736	
-2.2209	-1.25063	2.24396	
-2.91777	-1.9666	2.28603	
-2.18078	-1.29123	2.25886	
-2.27718	-1.96681	2.98981	
-1.90927	-2.12789	2.07401	
-1.48219	-2.57778	2.85836	
-0.941179	-3.1844	2.27584	
-1.12678	-3.51302	3.20189	
-1.69864	-2.71672	3.00468	
-1.47957	-2.90845	3.96137	
-2.06366	-2.5967	3.21193	
-1.89864	-1.91291	3.92271	
-1.85713	-1.1076	3.33132	
-2.84137	-1.28392	3.34501	
-2.04316	-0.681843	3.36416	
-2.48567	-1.50263	3.00291	
-1.73702	-1.72617	2.37876	
-1.92444	-2.37695	1.64299	
-2.76569	-1.88272	1.42381	
-3.11092	-2.71675	1.85417	
-3.40896	-1.7622	1.85588	
-2.61045	-2.10274	2.35228	
-3.11109	-2.57006	3.08095	
-2.84561	-3.44623	2.67863	
-2.66639	-3.27382	1.71005	
-1.98438	-3.68827	2.31262	
-2.22926	-2.73629	2.12888	
-1.23331	-2.79322	2.19847	
-0.582602	-3.49779	2.48162	
0.308877	-3.09343	2.68597	
0.88215	-3.63219	2.06865	
0.698079	-2.66652	1.88534	
1.30593	-1.92092	2.15845	
1.96262	-1.21971	2.43605	
1.7663	-0.264755	2.21353	
1.73793	0.61405	2.68987	
1.69189	1.15388	3.53038	
1.47117	0.564887	4.3078	
0.688787	1.18752	4.29355	
0.105899	0.375274	4.27118	
0.649032	-0.432975	4.04372	
0.746969	-1.10189	3.30686	
0.299359	-1.95957	3.55992	
0.761725	-2.26185	2.72635	
0.330998	-1.56266	2.15573	
-0.291402	-0.94181	1.67912	
-0.455175	-1.62621	2.38959	
-0.541365	-2.52476	2.81992	
-1.14369	-3.01399	2.18916	
-0.218284	-2.69271	2.39015	
0.0298657	-3.66143	2.38971	
-0.417679	-4.49507	2.71337	
-0.64691	-4.48313	3.68667	
-1.44876	-4.34752	3.10473	
-2.36778	-3.96691	3.00211	
-2.9369	-4.7663	3.19464	
-3.55736	-3.98527	3.26539	
-2.7653	-4.10261	2.66633	
-1.76718	-4.08443	2.60782	
-2.31983	-4.31878	3.40761	
-2.75316	-5.10741	2.97138	
-2.47085	-4.7615	2.07659	
-2.23094	-3.79226	2.13154	
-2.10493	-4.0779	3.08156	
-3.04145	-4.42456	3.13412	
-3.34448	-3.97581	3.97484	
-3.41964	-4.53049	3.14617	
-2.62717	-5.12954	3.26073	
-3.20462	-4.45524	3.72101	
-3.41062	-4.0631	4.61756	
-3.57867	-5.03884	4.47724	
-3.27183	-5.16389	3.53373	
-3.12912	-4.42464	4.19187	
-3.11003	-5.41058	4.3579	
-3.39205	-5.27347	5.30746	
-3.54976	-4.3974	5.76312	
-4.3384	-5.0056	5.8534	
-4.24024	-5.63389	6.62516	
-4.51303	-6.58323	6.78117	
-3.63779	-6.45491	6.31482	
-2.8833	-6.97607	6.71372	
-3.48591	-7.37604	7.40429	
-4.04069	-7.81851	8.10888	
-4.60601	-8.28722	8.78765	
-3.61923	-8.44165	8.83683	
-2.70293	-8.31083	9.21535	
-1.7795	-8.69212	9.17169	
-2.46278	-7.96543	9.24282	
