#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         160    -1148.27    -2059.26     33.0186
         161    -1133.67    -2053.51     33.3102
         162    -1118.84    -2047.74     33.6006
         163    -1104.18    -2041.95     33.8894
         164    -1089.79    -2036.15     34.1764
         165    -1075.29    -2030.33     34.4619
         166    -1060.87    -2024.49     34.7456
         167    -1046.35    -2018.63     35.0277
         168    -1032.11    -2012.76      35.308
         169    -1017.97    -2006.87     35.5864
         170    -1003.93    -2000.97     35.8627
         171    -989.902    -1995.06     36.1371
         172    -976.173    -1989.13     36.4093
         173    -962.655     -1983.2     36.6791
         174    -948.959    -1977.26     36.9468
         175    -935.677     -1971.3      37.212
         176    -922.322    -1965.34     37.4748
         177    -909.095    -1959.38     37.7352
         178    -896.192     -1953.4      37.993
         179    -883.326    -1947.43     38.2482
         180    -870.499    -1941.44     38.5008
         181    -857.909    -1935.46     38.7507
         182    -845.267    -1929.47      38.998
         183    -833.063    -1923.48     39.2424
         184    -820.813    -1917.48     39.4841
         185    -808.715    -1911.49     39.7229
         186    -796.673     -1905.5      39.959
         187    -784.983     -1899.5      40.192
         188    -773.454    -1893.51     40.4221
         189    -762.281    -1887.53     40.6489
         190    -750.981    -1881.55     40.8728
         191    -739.945    -1875.57     41.0935
         192    -728.981     -1869.6     41.3111
         193    -718.189    -1863.63     41.5256
         194    -707.473    -1857.67      41.737
         195    -697.128    -1851.72     41.9451
         196    -686.864    -1845.78       42.15
         197    -676.681    -1839.84     42.3518
         198    -666.973    -1833.92     42.5501
         199     -657.35    -1828.01     42.7451
         200    -647.816    -1822.11     42.9368
         201     -638.37    -1816.22     43.1251
         202    -629.307    -1810.34     43.3101
         203    -620.532    -1804.48     43.4915
         204    -611.558    -1798.63     43.6697
         205    -603.068     -1792.8     43.8444
         206    -594.772    -1786.98     44.0155
         207    -586.573    -1781.19     44.1833
         208    -578.667     -1775.4     44.3475
         209    -570.763    -1769.64     44.5083
         210     -563.25     -1763.9     44.6655
         211    -555.836    -1758.17     44.8193
         212    -548.621    -1752.46     44.9696
         213    -541.799    -1746.78     45.1162
         214    -534.884    -1741.12     45.2594
         215    -528.362    -1735.48     45.3991
         216    -522.039    -1729.86     45.5351
         217    -515.719    -1724.26     45.6677
         218    -509.501    -1718.69      45.797
         219    -503.772    -1713.14     45.9226
         220    -497.949    -1707.62     46.0449
         221    -492.518    -1702.12     46.1636
         222    -487.282    -1696.65     46.2789
         223    -482.339    -1691.21     46.3906
