#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1           3           3           0
           2     2.99997     2.99999 9.55647e-06
           3     2.99989     2.99995 2.65028e-05
           4     2.99976     2.99991 4.72305e-05
           5     2.99957     2.99984 7.11614e-05
           6     2.99933     2.99975 9.79205e-05
           7     2.99903     2.99965 0.000127245
           8     2.99868     2.99953  0.00015894
           9     2.99828     2.99939 0.000192854
          10     2.99782     2.99923 0.000228867
          11      2.9973     2.99906 0.000266882
          12     2.99674     2.99886 0.000306822
          13     2.99611     2.99865 0.000348621
          14     2.99543     2.99842 0.000392225
          15      2.9947     2.99817 0.000437591
          16     2.99391     2.99791 0.000484682
          17     2.99306     2.99762 0.000533469
          18     2.99215     2.99732 0.000583928
          19     2.99119       2.997 0.000636042
          20     2.99017     2.99665 0.000689795
          21     2.98909     2.99629 0.000745178
          22     2.98794     2.99591 0.000802185
          23     2.98674     2.99552 0.000860813
          24     2.98547      2.9951 0.000921062
          25     2.98414     2.99466 0.000982934
          26     2.98275      2.9942  0.00104642
          27     2.98129     2.99372  0.00111153
          28     2.97977     2.99322  0.00117825
          29     2.97818     2.99271  0.00124661
          30     2.97652     2.99217  0.00131662
          31     2.97479     2.99161  0.00138831
          32     2.97299     2.99102  0.00146167
          33     2.97113     2.99042  0.00153672
          34     2.96918      2.9898  0.00161348
          35     2.96717     2.98915  0.00169197
          36     2.96508     2.98848   0.0017722
          37     2.96291     2.98779  0.00185419
          38     2.96066     2.98708  0.00193799
          39     2.95833     2.98634  0.00202362
          40     2.95592     2.98558  0.00211112
          41     2.95342     2.98479   0.0022005
          42     2.95084     2.98399  0.00229182
          43     2.94817     2.98315  0.00238509
          44     2.94541     2.98229  0.00248036
          45     2.94256     2.98141  0.00257765
          46     2.93961      2.9805    0.002677
          47     2.93657     2.97957  0.00277845
          48     2.93343     2.97861  0.00288203
          49     2.93019     2.97762  0.00298778
          50     2.92685      2.9766  0.00309573
          51     2.92341     2.97556  0.00320594
          52     2.91986     2.97449  0.00331843
          53      2.9162     2.97339  0.00343325
          54     2.91242     2.97226  0.00355045
          55     2.90854      2.9711  0.00367006
          56     2.90454     2.96991  0.00379213
          57     2.90042     2.96869  0.00391671
          58     2.89618     2.96744  0.00404383
          59     2.89181     2.96616  0.00417353
          60     2.88732     2.96485  0.00430585
          61     2.88271      2.9635  0.00444084
          62     2.87796     2.96212  0.00457854
          63     2.87307     2.96071  0.00471901
          64     2.86805     2.95926  0.00486229
          65     2.86289     2.95778  0.00500842
          66     2.85759     2.95626  0.00515746
          67     2.85214     2.95471  0.00530945
          68     2.84654     2.95311  0.00546444
          69     2.84079     2.95149  0.00562248
          70     2.83489     2.94982  0.00578363
          71     2.82883     2.94812  0.00594793
          72     2.82261     2.94637  0.00611542
          73     2.81623     2.94459  0.00628614
          74     2.80969     2.94277  0.00646014
          75     2.80297      2.9409  0.00663746
          76     2.79609       2.939  0.00681813
          77     2.78904     2.93705  0.00700221
          78     2.78181     2.93506  0.00718972
          79     2.77441     2.93303  0.00738071
          80     2.76683     2.93095   0.0075752
          81     2.75906     2.92883  0.00777323
          82     2.75111     2.92666  0.00797484
          83     2.74298     2.92445  0.00818006
          84     2.73466     2.92219  0.00838891
