#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168      0.3358    0.668444   0.0263964
         169    0.339009    0.666495   0.0263121
         170     0.34226    0.664587   0.0262264
         171     0.34555    0.662722   0.0261393
         172    0.348875    0.660897   0.0260509
         173    0.352231    0.659113   0.0259614
         174    0.355612    0.657369   0.0258707
         175    0.359017    0.655664    0.025779
         176     0.36244    0.653998   0.0256863
         177    0.365877     0.65237   0.0255927
         178    0.369325     0.65078   0.0254983
         179     0.37278    0.649227   0.0254031
         180    0.376239     0.64771   0.0253072
         181    0.379698    0.646229   0.0252106
         182    0.383154    0.644784   0.0251135
         183    0.386604    0.643373   0.0250159
         184    0.390045    0.641996   0.0249178
         185    0.393473    0.640653   0.0248193
         186    0.396886    0.639342   0.0247204
         187    0.400281    0.638064   0.0246213
         188    0.403655    0.636817   0.0245219
         189    0.407006    0.635601   0.0244222
         190    0.410332    0.634415   0.0243225
         191     0.41363     0.63326   0.0242226
         192    0.416897    0.632133   0.0241226
         193    0.420132    0.631034   0.0240226
         194    0.423333    0.629964   0.0239226
         195    0.426498     0.62892   0.0238227
         196    0.429626    0.627903   0.0237228
         197    0.432713    0.626913   0.0236231
         198    0.435759    0.625947   0.0235235
         199    0.438763    0.625007   0.0234241
         200    0.441722     0.62409   0.0233249
         201    0.444636    0.623197   0.0232259
         202    0.447504    0.622328   0.0231272
         203    0.450324     0.62148   0.0230288
         204    0.453095    0.620655   0.0229307
         205    0.455816    0.619851    0.022833
         206    0.458487    0.619067   0.0227356
         207    0.461106    0.618304   0.0226385
         208    0.463674    0.617561   0.0225419
         209    0.466189    0.616837   0.0224457
         210    0.468651    0.616131   0.0223499
         211     0.47106    0.615443   0.0222545
         212    0.473415    0.614773   0.0221596
         213    0.475718    0.614121   0.0220652
         214    0.477967    0.613484   0.0219713
         215    0.480163    0.612864   0.0218778
         216    0.482306     0.61226   0.0217849
         217    0.484394    0.611671   0.0216925
         218     0.48643    0.611096   0.0216006
         219    0.488413    0.610536   0.0215092
         220    0.490343     0.60999   0.0214184
         221    0.492221    0.609457   0.0213281
         222    0.494048    0.608937   0.0212383
         223    0.495823     0.60843   0.0211492
         224    0.497548    0.607935   0.0210605
         225    0.499223    0.607451   0.0209725
         226    0.500849     0.60698    0.020885
         227    0.502426    0.606519   0.0207981
         228    0.503955    0.606069   0.0207117
         229    0.505438     0.60563   0.0206259
         230    0.506874      0.6052   0.0205407
         231    0.508265    0.604781   0.0204561
         232    0.509611    0.604371    0.020372
         233    0.510916     0.60397   0.0202885
         234    0.512178    0.603577   0.0202056
         235    0.513399    0.603194   0.0201233
         236     0.51458    0.602818   0.0200415
         237    0.515721    0.602451   0.0199603
         238    0.516824    0.602091   0.0198797
         239    0.517889    0.601738   0.0197996
         240    0.518919    0.601393   0.0197201
         241    0.519914    0.601055   0.0196412
         242    0.520876    0.600724   0.0195628
         243    0.521805    0.600399    0.019485
         244    0.522703    0.600081   0.0194078
         245    0.523571    0.599769   0.0193311
         246     0.52441    0.599462   0.0192549
         247    0.525221    0.599162   0.0191793
         248    0.526006    0.598867   0.0191042
         249    0.526766    0.598577   0.0190297
         250    0.527503    0.598293   0.0189557
         251    0.528218    0.598014   0.0188823
         252    0.528911    0.597739   0.0188093
         253    0.529584     0.59747   0.0187369
         254     0.53024    0.597205    0.018665
         255    0.530879    0.596945   0.0185936
         256    0.531501     0.59669   0.0185227
         257    0.532108    0.596438   0.0184524
         258    0.532702    0.596191   0.0183825
         259    0.533284    0.595948   0.0183131
         260    0.533855     0.59571   0.0182443
         261    0.534418    0.595475   0.0181759
         262    0.534971    0.595244    0.018108
         263    0.535517    0.595017   0.0180405
         264    0.536056    0.594793   0.0179736
         265     0.53659    0.594574   0.0179071
         266    0.537121    0.594358   0.0178411
         267    0.537649    0.594145   0.0177755
         268    0.538175    0.593936   0.0177104
         269      0.5387    0.593731   0.0176458
         270    0.539226    0.593529   0.0175816
         271    0.539754    0.593331   0.0175178
         272    0.540285    0.593136   0.0174545
         273    0.540821    0.592944   0.0173916
         274    0.541362    0.592756   0.0173292
         275    0.541909    0.592571   0.0172671
         276    0.542464    0.592389   0.0172055
         277    0.543027    0.592211   0.0171443
         278    0.543599    0.592036   0.0170836
         279    0.544181    0.591865   0.0170232
         280    0.544772    0.591697   0.0169632
         281    0.545375    0.591532   0.0169037
         282     0.54599     0.59137   0.0168445
         283    0.546617    0.591212   0.0167857
         284    0.547258    0.591057   0.0167273
         285    0.547912    0.590906   0.0166693
         286    0.548581    0.590758   0.0166117
         287    0.549265    0.590613   0.0165544
         288    0.549965    0.590472   0.0164976
         289    0.550683    0.590335    0.016441
         290    0.551418      0.5902   0.0163849
         291    0.552169     0.59007   0.0163291
         292    0.552939    0.589943   0.0162737
