#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.03429     1.45908   0.0144965
         168     1.02755     1.45651    0.014636
         169     1.02086     1.45394   0.0147746
         170     1.01423     1.45135   0.0149124
         171     1.00764     1.44875   0.0150493
         172     1.00111     1.44615   0.0151851
         173    0.994637     1.44354     0.01532
         174    0.988221     1.44093   0.0154538
         175    0.981867      1.4383   0.0155866
         176    0.975576     1.43567   0.0157182
         177     0.96935     1.43304   0.0158486
         178    0.963191      1.4304   0.0159779
         179    0.957101     1.42775   0.0161059
         180    0.951083     1.42511   0.0162327
         181    0.945137     1.42245   0.0163582
         182    0.939265      1.4198   0.0164823
         183    0.933469     1.41714   0.0166051
         184    0.927751     1.41448   0.0167265
         185    0.922112     1.41182   0.0168465
         186    0.916555     1.40916   0.0169651
         187     0.91108      1.4065   0.0170822
         188    0.905689     1.40383   0.0171978
         189    0.900383     1.40117   0.0173118
         190    0.895165      1.3985   0.0174244
         191    0.890036     1.39584   0.0175353
         192    0.884996     1.39318   0.0176447
         193    0.880046     1.39052   0.0177524
         194     0.87519     1.38787   0.0178586
         195    0.870427     1.38521   0.0179631
         196    0.865758     1.38256   0.0180659
         197    0.861185     1.37992    0.018167
         198    0.856709     1.37727   0.0182664
         199    0.852331     1.37464   0.0183641
         200    0.848052       1.372     0.01846
         201    0.843872     1.36938   0.0185543
         202    0.839794     1.36675   0.0186467
         203    0.835817     1.36414   0.0187374
         204    0.831943     1.36153   0.0188263
         205    0.828172     1.35893   0.0189133
         206    0.824506     1.35633   0.0189986
         207    0.820944     1.35375   0.0190821
         208    0.817488     1.35117   0.0191637
         209    0.814138      1.3486   0.0192435
         210    0.810895     1.34604   0.0193215
         211    0.807758     1.34349   0.0193976
         212    0.804728     1.34095   0.0194719
         213    0.801806     1.33842   0.0195443
         214    0.798991     1.33589   0.0196148
         215    0.796285     1.33338   0.0196835
         216    0.793687     1.33089   0.0197503
         217    0.791197      1.3284   0.0198153
         218    0.788814     1.32592   0.0198784
         219    0.786539     1.32346   0.0199396
         220    0.784372     1.32101    0.019999
         221    0.782312     1.31857   0.0200565
         222    0.780359     1.31615   0.0201121
         223    0.778512     1.31374   0.0201659
         224     0.77677     1.31134   0.0202179
         225    0.775134     1.30896    0.020268
         226    0.773601     1.30659   0.0203162
         227    0.772172     1.30423   0.0203627
         228    0.770845     1.30189   0.0204073
         229    0.769619     1.29957   0.0204502
         230    0.768493     1.29726   0.0204912
         231    0.767467     1.29497   0.0205304
         232    0.766538     1.29269   0.0205679
         233    0.765706     1.29043   0.0206036
         234    0.764969     1.28818   0.0206376
         235    0.764325     1.28595   0.0206698
         236    0.763772     1.28374   0.0207003
         237    0.763309     1.28155   0.0207291
         238    0.762933     1.27937   0.0207562
         239    0.762643      1.2772   0.0207817
         240    0.762438     1.27506   0.0208055
         241    0.762314     1.27293   0.0208276
         242     0.76227     1.27082   0.0208482
         243    0.762304     1.26873   0.0208672
         244    0.762413     1.26665   0.0208846
         245    0.762596      1.2646   0.0209004
         246    0.762849     1.26256   0.0209147
         247    0.763171     1.26053   0.0209275
         248    0.763559     1.25853   0.0209389
         249    0.764011     1.25654   0.0209488
         250    0.764523     1.25458   0.0209572
         251    0.765094     1.25263   0.0209643
         252     0.76572     1.25069   0.0209699
         253      0.7664     1.24878   0.0209742
         254    0.767131     1.24688   0.0209772
