#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         151    -5.83579    -6.20162   0.0129336
         152     -5.8288    -6.19917    0.013079
         153    -5.82181     -6.1967    0.013224
         154    -5.81454    -6.19422    0.013369
         155    -5.80758    -6.19173   0.0135134
         156    -5.80063    -6.18922   0.0136574
         157    -5.79341     -6.1867   0.0138011
         158     -5.7859    -6.18416    0.013945
         159    -5.77918    -6.18162   0.0140879
         160    -5.77202    -6.17906   0.0142306
         161    -5.76536    -6.17649   0.0143723
         162    -5.75827     -6.1739   0.0145136
         163    -5.75137    -6.17131   0.0146542
         164    -5.74481    -6.16871   0.0147938
         165    -5.73798     -6.1661   0.0149327
         166     -5.7312    -6.16348   0.0150708
         167    -5.72417    -6.16085   0.0152084
         168    -5.71748    -6.15821   0.0153452
         169    -5.71084    -6.15556    0.015481
         170    -5.70426    -6.15291   0.0156159
         171    -5.69758    -6.15025     0.01575
         172    -5.69125    -6.14758   0.0158829
         173    -5.68514    -6.14491   0.0160144
         174    -5.67863    -6.14223    0.016145
         175    -5.67264    -6.13954   0.0162742
         176    -5.66642    -6.13685   0.0164023
         177    -5.66026    -6.13416   0.0165292
         178    -5.65447    -6.13147   0.0166545
         179     -5.6486    -6.12877   0.0167785
         180    -5.64266    -6.12607   0.0169013
         181    -5.63694    -6.12337   0.0170226
         182    -5.63099    -6.12066   0.0171427
         183    -5.62557    -6.11796   0.0172611
         184    -5.61994    -6.11525   0.0173782
         185    -5.61438    -6.11254   0.0174939
         186    -5.60875    -6.10983   0.0176083
         187    -5.60351    -6.10713   0.0177211
         188    -5.59836    -6.10442   0.0178323
         189    -5.59359    -6.10172   0.0179416
         190    -5.58846    -6.09901   0.0180494
         191    -5.58357    -6.09632   0.0181555
         192    -5.57862    -6.09362     0.01826
         193    -5.57377    -6.09093    0.018363
         194    -5.56885    -6.08824   0.0184645
         195    -5.56434    -6.08555   0.0185642
         196    -5.55976    -6.08287   0.0186623
         197    -5.55514    -6.08019   0.0187589
         198    -5.55106    -6.07751   0.0188535
         199    -5.54693    -6.07485   0.0189464
         200    -5.54275    -6.07219   0.0190375
         201    -5.53852    -6.06953   0.0191271
         202     -5.5347    -6.06689   0.0192148
         203    -5.53112    -6.06425   0.0193005
         204    -5.52705    -6.06161   0.0193847
         205    -5.52354    -6.05899    0.019467
         206    -5.52013    -6.05637   0.0195475
         207    -5.51667    -6.05377   0.0196262
         208    -5.51347    -6.05117    0.019703
         209    -5.51008    -6.04858   0.0197781
         210    -5.50709      -6.046   0.0198512
         211    -5.50406    -6.04343   0.0199226
         212    -5.50114    -6.04087   0.0199922
         213    -5.49863    -6.03833   0.0200598
         214    -5.49577    -6.03579   0.0201256
         215    -5.49332    -6.03327   0.0201895
         216    -5.49098    -6.03076   0.0202516
         217    -5.48845    -6.02826   0.0203119
         218    -5.48587    -6.02577   0.0203705
         219    -5.48386     -6.0233   0.0204272
         220    -5.48149    -6.02083   0.0204823
