#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         147    -4.68932    -4.70342 0.000781984
         148    -4.68947    -4.70333 0.000782363
         149    -4.68901    -4.70323 0.000782988
         150    -4.68901    -4.70314 0.000783486
         151    -4.68932    -4.70305 0.000783624
         152    -4.68947    -4.70296 0.000783539
         153    -4.68963    -4.70287 0.000783241
         154    -4.68949    -4.70278 0.000782956
         155    -4.68966     -4.7027 0.000782469
         156    -4.68983    -4.70262 0.000781791
         157    -4.68969    -4.70253 0.000781131
         158    -4.68926    -4.70245  0.00078069
         159    -4.68959    -4.70237 0.000779957
         160    -4.68947    -4.70229  0.00077924
         161     -4.6898    -4.70221 0.000778251
         162    -4.68968    -4.70213  0.00077728
         163    -4.68972    -4.70206 0.000776235
         164    -4.69006    -4.70198 0.000774944
         165     -4.6901    -4.70191 0.000773589
         166    -4.69014    -4.70184 0.000772173
         167    -4.68988    -4.70177 0.000770862
         168    -4.68993     -4.7017 0.000769488
         169    -4.68998    -4.70163 0.000768053
         170    -4.69003    -4.70156 0.000766559
         171    -4.68993    -4.70149 0.000765086
         172    -4.69014    -4.70143 0.000763479
         173     -4.6905    -4.70136 0.000761673
         174    -4.69041     -4.7013 0.000759891
         175    -4.69078    -4.70124 0.000757924
         176    -4.69084    -4.70118 0.000755917
         177    -4.69091    -4.70112 0.000753871
         178    -4.69128    -4.70107  0.00075166
         179     -4.6915    -4.70101 0.000749358
         180    -4.69158    -4.70096 0.000747027
         181     -4.6918    -4.70091 0.000744613
         182    -4.69173    -4.70086  0.00074223
         183    -4.69211    -4.70081 0.000739715
         184    -4.69218    -4.70077 0.000737179
         185    -4.69227    -4.70072 0.000734625
         186     -4.6922    -4.70067 0.000732103
         187    -4.69243    -4.70063 0.000729514
         188    -4.69267    -4.70059 0.000726862
         189    -4.69321    -4.70055 0.000724063
         190     -4.6933    -4.70051 0.000721258
         191    -4.69354    -4.70047 0.000718405
         192    -4.69363    -4.70044 0.000715547
         193    -4.69372     -4.7004 0.000712686
         194    -4.69366    -4.70037 0.000709858
         195    -4.69391    -4.70034  0.00070699
         196      -4.694     -4.7003 0.000704121
         197    -4.69395    -4.70027 0.000701285
         198    -4.69435    -4.70024  0.00069838
         199     -4.6946    -4.70021 0.000695446
         200     -4.6947    -4.70019 0.000692515
         201    -4.69465    -4.70016 0.000689617
         202     -4.6949    -4.70013 0.000686693
         203    -4.69531    -4.70011 0.000683722
         204    -4.69511    -4.70008 0.000680809
         205    -4.69536    -4.70006 0.000677878
         206    -4.69562    -4.70004  0.00067493
         207    -4.69573    -4.70002 0.000671991
         208    -4.69598        -4.7  0.00066904
         209    -4.69594    -4.69998 0.000666121
         210     -4.6962    -4.69996 0.000663193
         211     -4.6963    -4.69994 0.000660276
         212    -4.69641    -4.69993 0.000657372
         213    -4.69682    -4.69991 0.000654448
         214    -4.69678     -4.6999 0.000651554
         215    -4.69704    -4.69988 0.000648659
         216     -4.6973    -4.69987 0.000645767
         217    -4.69725    -4.69986 0.000642904
         218    -4.69706    -4.69985 0.000640083
         219    -4.69732    -4.69984 0.000637265
         220    -4.69712    -4.69982 0.000634488
         221    -4.69723    -4.69981 0.000631726
         222    -4.69733     -4.6998 0.000628979
         223    -4.69759    -4.69979 0.000626236
         224     -4.6977    -4.69978  0.00062351
         225     -4.6978    -4.69977 0.000620801
         226     -4.6979    -4.69976  0.00061811
         227    -4.69816    -4.69976 0.000615427
         228    -4.69826    -4.69975 0.000612763
         229    -4.69851    -4.69975 0.000610111
         230    -4.69846    -4.69974 0.000607484
         231    -4.69886    -4.69974 0.000604866
         232    -4.69941    -4.69973 0.000602261
         233     -4.6995    -4.69973 0.000599677
         234    -4.69944    -4.69973 0.000597115
         235    -4.69954    -4.69973 0.000594575
         236    -4.69978    -4.69973 0.000592056
         237    -4.69987    -4.69973 0.000589558
         238    -4.69995    -4.69973 0.000587081
         239    -4.70003    -4.69973 0.000584626
         240    -4.70012    -4.69974 0.000582193
         241     -4.7005    -4.69974 0.000579786
         242    -4.70058    -4.69974   0.0005774
         243    -4.70065    -4.69975 0.000575036
         244    -4.70088    -4.69975 0.000572698
         245    -4.70095    -4.69976 0.000570381
         246    -4.70132    -4.69976 0.000568098
         247    -4.70199    -4.69977  0.00056587
         248    -4.70205    -4.69978 0.000563663
         249    -4.70196    -4.69979 0.000561467
         250    -4.70202     -4.6998 0.000559292
         251    -4.70208    -4.69981 0.000557138
         252    -4.70274    -4.69982 0.000555048
         253    -4.70279    -4.69983 0.000552978
         254    -4.70284    -4.69984 0.000550928
         255    -4.70273    -4.69985 0.000548884
         256    -4.70262    -4.69986 0.000546846
         257    -4.70312    -4.69988 0.000544865
         258    -4.70331    -4.69989 0.000542915
         259    -4.70304     -4.6999 0.000540954
         260    -4.70307    -4.69992 0.000539011
         261    -4.70295    -4.69993 0.000537071
         262    -4.70313    -4.69994 0.000535161
         263    -4.70316    -4.69995 0.000533266
         264    -4.70318    -4.69996 0.000531386
         265     -4.7032    -4.69998 0.000529521
         266    -4.70337    -4.69999 0.000527684
         267    -4.70339        -4.7 0.000525861
         268    -4.70325    -4.70001 0.000524038
         269    -4.70311    -4.70002 0.000522217
         270    -4.70312    -4.70004 0.000520408
         271    -4.70298    -4.70005 0.000518601
         272    -4.70298    -4.70006 0.000516807
         273    -4.70314    -4.70007 0.000515037
         274    -4.70314    -4.70008 0.000513279
         275    -4.70284    -4.70009 0.000511511
         276    -4.70314     -4.7001 0.000509777
         277    -4.70314    -4.70011 0.000508055
         278    -4.70314    -4.70012 0.000506344
         279    -4.70313    -4.70013 0.000504644
         280    -4.70313    -4.70014 0.000502954
         281    -4.70327    -4.70016 0.000501287
         282    -4.70341    -4.70017 0.000499643
         283    -4.70355    -4.70018  0.00049802
         284    -4.70354    -4.70019 0.000496407
         285    -4.70368     -4.7002 0.000494817
         286    -4.70397    -4.70022 0.000493262
         287    -4.70381    -4.70023 0.000491702
         288    -4.70394    -4.70024 0.000490164
         289    -4.70363    -4.70025 0.000488608
         290    -4.70391    -4.70027 0.000487086
         291    -4.70405    -4.70028 0.000485586
         292    -4.70403    -4.70029 0.000484093
         293    -4.70387     -4.7003 0.000482594
         294    -4.70385    -4.70032 0.000481104
         295    -4.70383    -4.70033  0.00047962
         296    -4.70381    -4.70034 0.000478144
         297    -4.70379    -4.70035 0.000476676
         298    -4.70363    -4.70036 0.000475203
         299    -4.70346    -4.70037 0.000473726
         300    -4.70359    -4.70038 0.000472268
         301    -4.70372    -4.70039 0.000470829
         302    -4.70385    -4.70041 0.000469409
         303    -4.70414    -4.70042 0.000468021
         304    -4.70412    -4.70043  0.00046664
         305    -4.70425    -4.70044 0.000465278
         306    -4.70453    -4.70046 0.000463949
         307    -4.70451    -4.70047 0.000462626
         308     -4.7048    -4.70048 0.000461337
         309    -4.70418     -4.7005 0.000459999
         310    -4.70416    -4.70051 0.000458666
         311    -4.70444    -4.70052 0.000457366
         312    -4.70442    -4.70053 0.000456071
         313    -4.70471    -4.70055 0.000454809
         314    -4.70469    -4.70056 0.000453552
         315    -4.70482    -4.70057 0.000452314
         316    -4.70526    -4.70059 0.000451126
         317    -4.70525     -4.7006 0.000449942
         318    -4.70538    -4.70062 0.000448778
         319    -4.70521    -4.70063 0.000447602
         320     -4.7052    -4.70065 0.000446431
         321    -4.70533    -4.70066 0.000445279
         322    -4.70532    -4.70068 0.000444131
         323     -4.7053    -4.70069 0.000442986
         324    -4.70499     -4.7007 0.000441818
         325    -4.70512    -4.70072 0.000440667
         326     -4.7045    -4.70073 0.000439469
         327    -4.70464    -4.70074 0.000438288
         328    -4.70463    -4.70075 0.000437112
         329    -4.70492    -4.70076 0.000435967
         330     -4.7049    -4.70078 0.000434826
         331    -4.70489    -4.70079  0.00043369
         332    -4.70503     -4.7008 0.000432571
         333    -4.70517    -4.70082 0.000431471
         334    -4.70516    -4.70083 0.000430375
         335    -4.70514    -4.70084 0.000429283
         336    -4.70513    -4.70085 0.000428195
         337    -4.70512    -4.70087 0.000427111
         338    -4.70496    -4.70088 0.000426019
         339    -4.70495    -4.70089 0.000424931
         340    -4.70478     -4.7009 0.000423836
         341    -4.70477    -4.70091 0.000422745
         342    -4.70416    -4.70092 0.000421615
         343     -4.7043    -4.70093 0.000420501
         344    -4.70489    -4.70094 0.000419436
         345    -4.70488    -4.70096 0.000418376
         346    -4.70518    -4.70097 0.000417344
         347    -4.70517    -4.70098 0.000416317
         348    -4.70516    -4.70099 0.000415293
         349    -4.70515      -4.701 0.000414274
         350    -4.70514    -4.70102 0.000413259
         351    -4.70498    -4.70103 0.000412235
         352    -4.70482    -4.70104 0.000411205
         353    -4.70511    -4.70105 0.000410202
         354    -4.70525    -4.70106 0.000409215
         355    -4.70494    -4.70107 0.000408208
         356    -4.70493    -4.70108 0.000407206
         357    -4.70462    -4.70109 0.000406186
         358    -4.70507     -4.7011 0.000405203
         359    -4.70506    -4.70112 0.000404224
         360    -4.70475    -4.70113 0.000403228
         361    -4.70475    -4.70114 0.000402235
         362    -4.70459    -4.70114 0.000401237
         363    -4.70473    -4.70115 0.000400254
         364    -4.70473    -4.70116 0.000399274
         365    -4.70472    -4.70117 0.000398299
         366    -4.70471    -4.70118 0.000397328
         367    -4.70486    -4.70119 0.000396372
         368     -4.7047     -4.7012  0.00039541
         369    -4.70455    -4.70121 0.000394442
         370    -4.70469    -4.70122 0.000393488
         371    -4.70469    -4.70123 0.000392538
         372    -4.70469    -4.70124 0.000391593
         373    -4.70468    -4.70125 0.000390652
         374    -4.70453    -4.70126 0.000389706
         375    -4.70453    -4.70127 0.000388764
         376    -4.70437    -4.70128 0.000387817
         377    -4.70452    -4.70128 0.000386884
         378    -4.70452    -4.70129 0.000385955
         379    -4.70452     -4.7013 0.000385031
         380    -4.70452    -4.70131 0.000384111
         381    -4.70452    -4.70132 0.000383195
         382    -4.70437    -4.70133 0.000382275
         383    -4.70437    -4.70133 0.000381359
         384    -4.70452    -4.70134 0.000380456
         385    -4.70452    -4.70135 0.000379557
         386    -4.70467    -4.70136 0.000378671
         387    -4.70467    -4.70137  0.00037779
         388    -4.70468    -4.70138 0.000376912
         389    -4.70468    -4.70138 0.000376039
         390    -4.70468    -4.70139  0.00037517
         391    -4.70453     -4.7014 0.000374296
         392    -4.70454    -4.70141 0.000373427
         393    -4.70454    -4.70142 0.000372562
         394    -4.70469    -4.70143 0.000371709
         395     -4.7047    -4.70143  0.00037086
         396     -4.7047    -4.70144 0.000370015
         397    -4.70471    -4.70145 0.000369175
         398    -4.70471    -4.70146 0.000368338
         399    -4.70486    -4.70147 0.000367514
         400    -4.70457    -4.70147 0.000366677
         401    -4.70457    -4.70148 0.000365843
         402    -4.70472    -4.70149 0.000365022
         403    -4.70458     -4.7015 0.000364197
         404    -4.70428    -4.70151  0.00036336
         405    -4.70413    -4.70151 0.000362521
         406    -4.70428    -4.70152 0.000361692
         407    -4.70413    -4.70152  0.00036086
         408    -4.70429    -4.70153  0.00036004
         409    -4.70444    -4.70154 0.000359229
         410    -4.70429    -4.70155 0.000358416
         411    -4.70444    -4.70155 0.000357613
         412    -4.70444    -4.70156 0.000356814
         413    -4.70474    -4.70157 0.000356033
         414     -4.7049    -4.70158 0.000355264
         415    -4.70489    -4.70158 0.000354498
         416    -4.70504    -4.70159 0.000353743
         417    -4.70489     -4.7016 0.000352984
         418    -4.70504    -4.70161 0.000352235
         419    -4.70473    -4.70162 0.000351473
         420    -4.70488    -4.70162 0.000350722
         421    -4.70457    -4.70163 0.000349959
         422    -4.70457    -4.70164 0.000349199
         423    -4.70456    -4.70164 0.000348442
         424    -4.70425    -4.70165 0.000347674
         425    -4.70424    -4.70166  0.00034691
         426    -4.70408    -4.70166 0.000346142
         427    -4.70423    -4.70167 0.000345384
         428    -4.70376    -4.70167 0.000344611
         429    -4.70376    -4.70168 0.000343842
         430    -4.70405    -4.70168 0.000343087
         431    -4.70404    -4.70169 0.000342334
         432    -4.70433    -4.70169 0.000341596
         433    -4.70447     -4.7017 0.000340867
         434    -4.70476    -4.70171 0.000340155
         435    -4.70475    -4.70171 0.000339444
         436    -4.70443    -4.70172 0.000338723
         437    -4.70457    -4.70173 0.000338011
         438    -4.70456    -4.70173 0.000337301
         439    -4.70439    -4.70174 0.000336587
         440    -4.70453    -4.70175 0.000335881
         441    -4.70436    -4.70175 0.000335172
         442     -4.7042    -4.70176 0.000334459
         443    -4.70419    -4.70176 0.000333749
         444    -4.70417    -4.70177 0.000333042
         445    -4.70416    -4.70177 0.000332337
         446    -4.70399    -4.70178 0.000331629
         447    -4.70383    -4.70178 0.000330918
         448    -4.70366    -4.70179 0.000330206
         449     -4.7035    -4.70179 0.000329493
         450    -4.70349     -4.7018 0.000328782
         451    -4.70362     -4.7018 0.000328078
         452    -4.70376     -4.7018 0.000327381
         453    -4.70375    -4.70181 0.000326687
         454    -4.70374    -4.70181 0.000325995
         455    -4.70373    -4.70182 0.000325305
         456    -4.70387    -4.70182 0.000324623
         457    -4.70401    -4.70183 0.000323948
         458      -4.704    -4.70183 0.000323275
         459    -4.70414    -4.70184  0.00032261
         460    -4.70428    -4.70184 0.000321952
         461    -4.70442    -4.70185 0.000321303
         462    -4.70426    -4.70185  0.00032065
         463    -4.70426    -4.70186 0.000319999
         464    -4.70425    -4.70186 0.000319351
         465    -4.70455    -4.70187 0.000318717
         466    -4.70484    -4.70187 0.000318097
         467    -4.70544    -4.70188 0.000317507
         468    -4.70529    -4.70189 0.000316912
         469    -4.70544     -4.7019 0.000316327
         470    -4.70559     -4.7019 0.000315751
         471    -4.70573    -4.70191 0.000315186
         472    -4.70573    -4.70192 0.000314622
         473    -4.70604    -4.70193 0.000314077
         474    -4.70619    -4.70194 0.000313543
         475    -4.70619    -4.70195  0.00031301
         476    -4.70604    -4.70196 0.000312471
         477     -4.7062    -4.70197 0.000311942
         478    -4.70605    -4.70197 0.000311407
         479    -4.70605    -4.70198 0.000310873
         480    -4.70591    -4.70199 0.000310333
         481    -4.70576      -4.702 0.000309787
         482    -4.70607    -4.70201 0.000309259
         483    -4.70593    -4.70201 0.000308726
         484    -4.70564    -4.70202 0.000308179
         485    -4.70565    -4.70203 0.000307634
         486    -4.70521    -4.70204  0.00030707
         487    -4.70492    -4.70204 0.000306497
         488    -4.70508    -4.70205 0.000305932
         489    -4.70494    -4.70205 0.000305363
         490    -4.70465    -4.70206 0.000304786
         491    -4.70467    -4.70207 0.000304212
         492    -4.70468    -4.70207  0.00030364
         493    -4.70455    -4.70208 0.000303066
         494    -4.70442    -4.70208 0.000302489
         495    -4.70443    -4.70208 0.000301916
         496     -4.7043    -4.70209  0.00030134
         497    -4.70447    -4.70209 0.000300772
         498    -4.70434     -4.7021 0.000300202
         499    -4.70421     -4.7021  0.00029963
         500    -4.70423    -4.70211 0.000299061
         501    -4.70426    -4.70211 0.000298495
         502    -4.70428    -4.70212 0.000297931
         503     -4.7043    -4.70212 0.000297371
         504    -4.70463    -4.70213 0.000296822
         505     -4.7048    -4.70213 0.000296282
         506    -4.70438    -4.70213  0.00029573
         507     -4.7038    -4.70214 0.000295165
         508    -4.70337    -4.70214 0.000294594
         509     -4.7034    -4.70214 0.000294026
         510    -4.70343    -4.70215  0.00029346
         511    -4.70331    -4.70215 0.000292894
         512    -4.70349    -4.70215 0.000292334
         513    -4.70352    -4.70215 0.000291776
         514     -4.7037    -4.70216 0.000291224
         515    -4.70373    -4.70216 0.000290674
         516    -4.70376    -4.70216 0.000290128
         517    -4.70379    -4.70217 0.000289583
         518    -4.70382    -4.70217 0.000289042
         519      -4.704    -4.70217 0.000288507
         520    -4.70433    -4.70218 0.000287982
         521    -4.70436    -4.70218 0.000287459
         522    -4.70454    -4.70218 0.000286944
         523    -4.70442    -4.70219 0.000286428
         524     -4.7043    -4.70219  0.00028591
         525    -4.70418     -4.7022  0.00028539
         526    -4.70406     -4.7022  0.00028487
         527    -4.70424     -4.7022 0.000284355
         528    -4.70412    -4.70221  0.00028384
         529      -4.704    -4.70221 0.000283324
         530    -4.70403    -4.70221  0.00028281
         531    -4.70421    -4.70222 0.000282303
         532    -4.70409    -4.70222 0.000281794
         533    -4.70427    -4.70223 0.000281291
         534    -4.70445    -4.70223 0.000280795
         535    -4.70447    -4.70223 0.000280302
         536    -4.70465    -4.70224 0.000279815
         537    -4.70437    -4.70224 0.000279322
         538    -4.70409    -4.70225 0.000278824
         539    -4.70412    -4.70225 0.000278328
         540    -4.70414    -4.70225 0.000277835
         541    -4.70416    -4.70226 0.000277344
         542    -4.70418    -4.70226 0.000276855
         543    -4.70405    -4.70226 0.000276365
         544    -4.70377    -4.70227  0.00027587
         545    -4.70378    -4.70227 0.000275378
         546    -4.70365    -4.70227 0.000274885
         547    -4.70381    -4.70227 0.000274397
         548    -4.70368    -4.70228 0.000273909
         549    -4.70384    -4.70228 0.000273424
         550    -4.70431    -4.70228 0.000272952
         551    -4.70432    -4.70229 0.000272482
         552    -4.70433    -4.70229 0.000272013
         553    -4.70418    -4.70229 0.000271543
         554    -4.70419     -4.7023 0.000271074
         555     -4.7042     -4.7023 0.000270608
         556     -4.7042     -4.7023 0.000270142
         557    -4.70421    -4.70231 0.000269679
         558    -4.70421    -4.70231 0.000269217
         559    -4.70406    -4.70231 0.000268754
         560    -4.70406    -4.70232 0.000268292
         561    -4.70406    -4.70232 0.000267832
         562    -4.70406    -4.70232 0.000267373
         563     -4.7042    -4.70233 0.000266919
         564    -4.70435    -4.70233  0.00026647
         565    -4.70435    -4.70233 0.000266022
         566    -4.70449    -4.70234 0.000265579
         567    -4.70464    -4.70234 0.000265142
         568    -4.70478    -4.70235  0.00026471
         569    -4.70492    -4.70235 0.000264283
         570    -4.70491    -4.70236 0.000263858
         571    -4.70505    -4.70236 0.000263438
         572    -4.70504    -4.70237 0.000263019
         573    -4.70503    -4.70237 0.000262601
         574    -4.70472    -4.70237 0.000262176
         575    -4.70455    -4.70238 0.000261747
         576    -4.70439    -4.70238 0.000261316
         577    -4.70452    -4.70238 0.000260889
         578    -4.70435    -4.70239  0.00026046
         579    -4.70419    -4.70239 0.000260029
         580    -4.70402    -4.70239 0.000259596
         581     -4.7037     -4.7024 0.000259159
         582    -4.70368     -4.7024 0.000258723
         583    -4.70351     -4.7024 0.000258286
         584    -4.70349     -4.7024  0.00025785
         585    -4.70378     -4.7024  0.00025742
         586    -4.70376    -4.70241 0.000256991
         587    -4.70404    -4.70241 0.000256569
         588    -4.70417    -4.70241  0.00025615
         589     -4.7043    -4.70242 0.000255735
         590    -4.70428    -4.70242 0.000255321
         591    -4.70426    -4.70242 0.000254908
         592    -4.70439    -4.70243 0.000254499
         593    -4.70437    -4.70243 0.000254091
         594    -4.70419    -4.70243  0.00025368
         595    -4.70417    -4.70243 0.000253271
         596      -4.704    -4.70244 0.000252859
         597    -4.70443    -4.70244 0.000252458
         598     -4.7044    -4.70244 0.000252057
         599    -4.70438    -4.70245 0.000251657
         600    -4.70421    -4.70245 0.000251255
         601    -4.70418    -4.70245 0.000250853
         602    -4.70416    -4.70246 0.000250452
         603    -4.70413    -4.70246 0.000250052
         604    -4.70396    -4.70246 0.000249651
         605    -4.70393    -4.70246  0.00024925
         606    -4.70391    -4.70247  0.00024885
         607    -4.70404    -4.70247 0.000248454
         608    -4.70386    -4.70247 0.000248056
         609    -4.70384    -4.70247 0.000247658
         610    -4.70427    -4.70248  0.00024727
