#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         167    0.689524    0.972722   0.0096643
         168    0.685034    0.971009  0.00975731
         169    0.680576    0.969291  0.00984975
         170    0.676151    0.967566   0.0099416
         171    0.671761    0.965837   0.0100328
         172    0.667407    0.964101   0.0101234
         173    0.663091    0.962362   0.0102133
         174    0.658814    0.960617   0.0103025
         175    0.654578    0.958868    0.010391
         176    0.650384    0.957115   0.0104788
         177    0.646233    0.955359   0.0105658
         178    0.642127    0.953599   0.0106519
         179    0.638068    0.951837   0.0107373
         180    0.634055    0.950071   0.0108218
         181    0.630091    0.948303   0.0109055
         182    0.626177    0.946533   0.0109882
         183    0.622313    0.944762   0.0110701
         184    0.618501    0.942989    0.011151
         185    0.614742    0.941214    0.011231
         186    0.611037    0.939439   0.0113101
         187    0.607386    0.937663   0.0113881
         188    0.603793    0.935887   0.0114652
         189    0.600256    0.934112   0.0115412
         190    0.596777    0.932336   0.0116162
         191    0.593357    0.930561   0.0116902
         192    0.589997    0.928788   0.0117631
         193    0.586698    0.927015    0.011835
         194     0.58346    0.925244   0.0119057
         195    0.580284    0.923475   0.0119754
         196    0.577172    0.921708   0.0120439
         197    0.574123    0.919944   0.0121113
         198    0.571139    0.918182   0.0121776
         199     0.56822    0.916424   0.0122427
         200    0.565368    0.914668   0.0123067
         201    0.562582    0.912917   0.0123695
         202    0.559863    0.911169   0.0124311
         203    0.557211    0.909425   0.0124916
         204    0.554628    0.907686   0.0125508
         205    0.552115    0.905952   0.0126089
         206     0.54967    0.904222   0.0126658
         207    0.547296    0.902498   0.0127214
         208    0.544992    0.900779   0.0127758
         209    0.542759    0.899066    0.012829
         210    0.540597    0.897359    0.012881
         211    0.538505    0.895658   0.0129317
         212    0.536486    0.893964   0.0129812
         213    0.534537    0.892277   0.0130295
         214    0.532661    0.890596   0.0130765
         215    0.530857    0.888923   0.0131223
         216    0.529125    0.887257   0.0131669
         217    0.527465    0.885599   0.0132102
         218    0.525876    0.883949   0.0132522
         219     0.52436    0.882307   0.0132931
         220    0.522915    0.880674   0.0133326
         221    0.521541    0.879049    0.013371
         222    0.520239    0.877432   0.0134081
         223    0.519008    0.875825   0.0134439
         224    0.517847    0.874227   0.0134786
         225    0.516756    0.872638    0.013512
         226    0.515734    0.871059   0.0135442
         227    0.514781    0.869489   0.0135751
         228    0.513897     0.86793   0.0136049
         229    0.513079     0.86638   0.0136334
         230    0.512329    0.864841   0.0136608
         231    0.511645    0.863312    0.013687
         232    0.511025    0.861793   0.0137119
         233    0.510471    0.860286   0.0137357
         234    0.509979    0.858789   0.0137584
         235     0.50955    0.857302   0.0137799
         236    0.509181    0.855827   0.0138002
         237    0.508872    0.854363   0.0138194
         238    0.508622    0.852911   0.0138375
         239    0.508429    0.851469   0.0138544
         240    0.508292    0.850039   0.0138703
         241    0.508209    0.848621   0.0138851
         242     0.50818    0.847214   0.0138988
         243    0.508202    0.845819   0.0139114
         244    0.508276    0.844436    0.013923
         245    0.508397    0.843064   0.0139336
         246    0.508566    0.841704   0.0139431
         247    0.508781    0.840357   0.0139517
         248    0.509039    0.839021   0.0139593
         249     0.50934    0.837697   0.0139658
         250    0.509682    0.836385   0.0139715
         251    0.510062    0.835084   0.0139762
         252     0.51048    0.833796   0.0139799
         253    0.510933     0.83252   0.0139828
         254    0.511421    0.831256   0.0139848
         255     0.51194    0.830004   0.0139859
         256     0.51249    0.828764   0.0139862
         257    0.513068    0.827535   0.0139856
         258    0.513673    0.826319   0.0139842
         259    0.514304    0.825114    0.013982
         260    0.514958    0.823921    0.013979
         261    0.515634     0.82274   0.0139752
         262     0.51633     0.82157   0.0139708
         263    0.517045    0.820412   0.0139655
         264    0.517777    0.819266   0.0139596
         265    0.518524    0.818131    0.013953
         266    0.519284    0.817008   0.0139457
         267    0.520057    0.815896   0.0139377
         268    0.520841    0.814795   0.0139291
         269    0.521634    0.813705   0.0139199
         270    0.522435    0.812626   0.0139101
         271    0.523243    0.811558   0.0138997
         272    0.524056    0.810501   0.0138887
         273    0.524873    0.809455   0.0138772
         274    0.525694    0.808419   0.0138652
         275    0.526516    0.807394   0.0138526
         276    0.527339     0.80638   0.0138395
         277    0.528161    0.805375   0.0138259
         278    0.528982    0.804381   0.0138119
         279    0.529801    0.803397   0.0137974
         280    0.530616    0.802423   0.0137825
         281    0.531427    0.801458   0.0137671
         282    0.532233    0.800503   0.0137514
         283    0.533033    0.799558   0.0137352
         284    0.533827    0.798623   0.0137187
         285    0.534613    0.797696   0.0137018
         286    0.535392    0.796779   0.0136846
         287    0.536162    0.795871    0.013667
         288    0.536924    0.794972   0.0136491
         289    0.537677    0.794082   0.0136308
         290     0.53842      0.7932   0.0136123
         291    0.539152    0.792327   0.0135935
         292    0.539874    0.791463   0.0135744
         293    0.540586    0.790606   0.0135551
         294    0.541286    0.789758   0.0135355
         295    0.541975    0.788918   0.0135156
         296    0.542652    0.788086   0.0134955
         297    0.543317    0.787262   0.0134752
         298    0.543969    0.786446   0.0134547
         299     0.54461    0.785637    0.013434
         300    0.545237    0.784836   0.0134131
         301    0.545853    0.784042    0.013392
         302    0.546455    0.783255   0.0133708
         303    0.547045    0.782475   0.0133494
         304    0.547622    0.781703   0.0133278
         305    0.548187    0.780937   0.0133061
         306    0.548739    0.780178   0.0132842
         307    0.549279    0.779426   0.0132622
         308    0.549806    0.778681   0.0132401
         309    0.550321    0.777942   0.0132178
         310    0.550824    0.777209   0.0131955
         311    0.551315    0.776483    0.013173
         312    0.551795    0.775763   0.0131505
         313    0.552262    0.775049   0.0131278
         314    0.552717     0.77434   0.0131051
         315    0.553161    0.773638   0.0130823
         316    0.553594    0.772942   0.0130594
         317    0.554015    0.772251   0.0130365
         318    0.554426    0.771566   0.0130135
         319    0.554826    0.770887   0.0129904
         320    0.555215    0.770213   0.0129673
         321    0.555594    0.769544   0.0129441
         322    0.555962    0.768881   0.0129209
         323     0.55632    0.768223   0.0128976
         324    0.556668     0.76757   0.0128743
         325    0.557007    0.766922    0.012851
         326    0.557336    0.766279   0.0128277
         327    0.557656    0.765641   0.0128043
         328    0.557967    0.765008   0.0127809
         329    0.558269     0.76438   0.0127575
         330    0.558563    0.763756   0.0127341
         331    0.558847    0.763137   0.0127106
         332    0.559122    0.762522   0.0126872
         333    0.559389    0.761912   0.0126638
         334    0.559648    0.761307   0.0126403
         335    0.559899    0.760706   0.0126169
         336    0.560141    0.760109   0.0125934
         337    0.560376    0.759516     0.01257
         338    0.560602    0.758928   0.0125466
         339    0.560821    0.758343   0.0125232
         340    0.561033    0.757763   0.0124998
         341    0.561237    0.757187   0.0124764
         342    0.561434    0.756614    0.012453
         343    0.561624    0.756046   0.0124297
         344    0.561808    0.755481   0.0124064
         345    0.561985     0.75492   0.0123831
         346    0.562155    0.754363   0.0123598
         347    0.562318     0.75381   0.0123366
         348    0.562475     0.75326   0.0123134
         349    0.562626    0.752714   0.0122902
         350     0.56277    0.752171   0.0122671
         351    0.562908    0.751632    0.012244
         352     0.56304    0.751096   0.0122209
         353    0.563166    0.750563   0.0121979
         354    0.563287    0.750034   0.0121749
         355    0.563401    0.749509   0.0121519
         356     0.56351    0.748986    0.012129
         357    0.563613    0.748467   0.0121062
         358    0.563711    0.747951   0.0120833
         359    0.563804    0.747438   0.0120606
         360    0.563892    0.746928   0.0120378
         361    0.563975    0.746421   0.0120152
         362    0.564053    0.745918   0.0119925
         363    0.564127    0.745417   0.0119699
         364    0.564197    0.744919   0.0119474
         365    0.564262    0.744424   0.0119249
         366    0.564323    0.743932   0.0119025
         367    0.564381    0.743443   0.0118801
         368    0.564435    0.742956   0.0118578
         369    0.564485    0.742473   0.0118355
         370    0.564532    0.741992   0.0118133
         371    0.564576    0.741513   0.0117911
         372    0.564617    0.741038    0.011769
         373    0.564656    0.740565   0.0117469
         374    0.564692    0.740095   0.0117249
         375    0.564726    0.739627    0.011703
         376    0.564758    0.739162   0.0116811
         377    0.564789    0.738699   0.0116593
         378    0.564819    0.738239   0.0116375
         379    0.564848    0.737782   0.0116158
         380    0.564876    0.737327   0.0115941
         381    0.564903    0.736874   0.0115725
         382     0.56493    0.736424    0.011551
         383    0.564957    0.735977   0.0115295
         384    0.564985    0.735531   0.0115081
         385    0.565013    0.735088   0.0114867
