#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1  -0.0318372  -0.0318372           0
           2  -0.0318373  -0.0318373 2.30726e-08
           3  -0.0318374  -0.0318373 4.14299e-08
           4  -0.0318376  -0.0318374 6.17375e-08
           5  -0.0318378  -0.0318374 8.40833e-08
           6   -0.031838  -0.0318375 1.08369e-07
           7  -0.0318383  -0.0318376 1.34477e-07
           8  -0.0318386  -0.0318378 1.62301e-07
           9   -0.031839  -0.0318379 1.91749e-07
          10  -0.0318394   -0.031838 2.22737e-07
          11  -0.0318398  -0.0318382 2.55197e-07
          12  -0.0318403  -0.0318384 2.89064e-07
          13  -0.0318409  -0.0318386 3.24283e-07
          14  -0.0318415  -0.0318388 3.60805e-07
          15  -0.0318421   -0.031839 3.98585e-07
          16  -0.0318428  -0.0318392 4.37582e-07
          17  -0.0318435  -0.0318395 4.77759e-07
          18  -0.0318442  -0.0318398 5.19082e-07
          19   -0.031845    -0.03184 5.61521e-07
          20  -0.0318459  -0.0318403 6.05046e-07
          21  -0.0318468  -0.0318406  6.4963e-07
          22  -0.0318477   -0.031841 6.95249e-07
          23  -0.0318487  -0.0318413  7.4188e-07
          24  -0.0318497  -0.0318416 7.89501e-07
          25  -0.0318508   -0.031842 8.38091e-07
          26  -0.0318519  -0.0318424 8.87631e-07
          27   -0.031853  -0.0318428 9.38103e-07
          28  -0.0318542  -0.0318432  9.8949e-07
          29  -0.0318554  -0.0318436 1.04178e-06
          30  -0.0318567   -0.031844 1.09494e-06
          31   -0.031858  -0.0318445 1.14898e-06
          32  -0.0318594   -0.031845 1.20387e-06
          33  -0.0318608  -0.0318454 1.25961e-06
          34  -0.0318623  -0.0318459 1.31617e-06
          35  -0.0318638  -0.0318464 1.37355e-06
          36  -0.0318653   -0.031847 1.43173e-06
          37  -0.0318669  -0.0318475 1.49071e-06
          38  -0.0318685  -0.0318481 1.55047e-06
          39  -0.0318702  -0.0318486 1.61101e-06
          40  -0.0318719  -0.0318492  1.6723e-06
          41  -0.0318736  -0.0318498 1.73435e-06
          42  -0.0318754  -0.0318504 1.79715e-06
          43  -0.0318773   -0.031851 1.86068e-06
          44  -0.0318791  -0.0318517 1.92494e-06
          45  -0.0318811  -0.0318523 1.98992e-06
          46   -0.031883   -0.031853  2.0556e-06
          47  -0.0318851  -0.0318537   2.122e-06
          48  -0.0318871  -0.0318544 2.18908e-06
          49  -0.0318892  -0.0318551 2.25686e-06
          50  -0.0318913  -0.0318558 2.32532e-06
          51  -0.0318935  -0.0318566 2.39445e-06
